Gene,Product,Category,Tier
AA984_17395,Carbamate kinase,Acid tolerance,Core
Aaci_2355,Glutamate decarboxylase,Acid tolerance,Core
AB432_007325,Glutamate decarboxylase,Acid tolerance,Core
AB447_200365,2-diaminobutyrate decarboxylase,Acid tolerance,Core
AB447_201215,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AB447_204065,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AB447_205605,Carbamate kinase,Acid tolerance,Core
AB447_219895,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AB685_28675,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AB996_0220,Carbamate kinase,Acid tolerance,Core
AB996_0444,Carbamate kinase,Acid tolerance,Core
ABDD91_12365,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
ABE28_023580,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
ABG082_03740,Pyridoxal-dependent decarboxylase,Acid tolerance,Core
ABN16_03065,Carbamate kinase,Acid tolerance,Core
ABW02_01440,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
ABW02_16375,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AC622_02380,Carbamate kinase,Acid tolerance,Core
acrA,Arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
ADI,Arginine deiminase,Acid tolerance,Core
ADM90_16890,Arginine deiminase,Acid tolerance,Core
ADM90_17520,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
ADS79_05165,Glutamate decarboxylase,Acid tolerance,Core
ADS79_33135,Carbamate kinase,Acid tolerance,Core
AEL95_05320,carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
AEQ18_08950,Carbamate kinase,Acid tolerance,Core
AF333_00980,Glutamate decarboxylase,Acid tolerance,Core
AF333_20075,Amino acid decarboxylase (Glutamate or tyrosine decarboxylase),Acid tolerance,Core
AF333_27765,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
aguC,Carbamate kinase,Acid tolerance,Core
AKL21_01965,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AKL21_08555,Carbamate kinase,Acid tolerance,Core
AKL21_11875,Carbamate kinase,Acid tolerance,Core
AM231_17675,Glutamate decarboxylase,Acid tolerance,Core
AM499_05230,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AM499_20130,Carbamate kinase,Acid tolerance,Core
AM500_03340,Carbamate kinase,Acid tolerance,Core
AM500_05090,Carbamate kinase,Acid tolerance,Core
AM592_06405,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AMD02_06945,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AMD02_17055,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AN161_15805,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AN161_15970,Arginine deiminase,Acid tolerance,Core
AN957_13345,Pyridoxal-dependent decarboxylase,Acid tolerance,Core
AN957_23105,Carbamate kinase,Acid tolerance,Core
AN957_24370,Carbamate kinase,Acid tolerance,Core
ANG5_0469,Pyridoxal-dependent decarboxylase domain protein,Acid tolerance,Core
ANG6_1273,Carbamate kinase,Acid tolerance,Core
arcA,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),Acid tolerance,Core
arcA_1,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),Acid tolerance,Core
arcA_2,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),Acid tolerance,Core
arcA_3,Arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
arcA_4,Arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
arcA1,Arginine deiminase,Acid tolerance,Core
arcA2,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),Acid tolerance,Core
arcC,Carbamate kinase,Acid tolerance,Core
arcC_1,Carbamate kinase,Acid tolerance,Core
arcC_2,Carbamate kinase,Acid tolerance,Core
arcC_3,Carbamate kinase,Acid tolerance,Core
arcC_4,Carbamate kinase,Acid tolerance,Core
arcC_5,Carbamate kinase,Acid tolerance,Core
arcC-1,Carbamate kinase,Acid tolerance,Core
arcC-2,Carbamate kinase,Acid tolerance,Core
arcC-3,Carbamate kinase,Acid tolerance,Core
arcC-3_1,Carbamate kinase,Acid tolerance,Core
arcC-3_2,Carbamate kinase,Acid tolerance,Core
arcC-4,Carbamate kinase,Acid tolerance,Core
arcC1,Carbamate kinase,Acid tolerance,Core
arcC1_1,Carbamate kinase,Acid tolerance,Core
arcC1_2,Carbamate kinase,Acid tolerance,Core
arcC1_3,Carbamate kinase,Acid tolerance,Core
arcC2,Carbamate kinase,Acid tolerance,Core
arcC3,Carbamate kinase,Acid tolerance,Core
arcc5,Carbamate kinase,Acid tolerance,Core
arcD,Arginine/ornithine antiporter,Acid tolerance,Contextual
arcR,Arginine deiminase pathway regulator (Arginine deiminase transcription regulation) (Crp/Fnr family transcriptional regulator),Acid tolerance,Core
AS888_15685,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AT268_01240,Carbamate kinase,Acid tolerance,Core
AT268_10335,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AT268_13015,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AT268_34050,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
AT575_05605,Carbamate kinase,Acid tolerance,Core
AT575_08725,Carbamate kinase,Acid tolerance,Core
ATG70_1550,"L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
ATG70_3914,Arginine deiminase,Acid tolerance,Core
ATZ35_00280,Carbamate kinase,Acid tolerance,Core
ATZ35_07430,Carbamate kinase,Acid tolerance,Core
ATZ35_11970,Carbamate kinase,Acid tolerance,Core
ATZ35_14560,Carbamate kinase,Acid tolerance,Core
ATZ35_15630,Carbamate kinase,Acid tolerance,Core
AUF17_02240,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AUF17_13570,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AUF17_18550,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AWT83_00325,Carbamate kinase,Acid tolerance,Core
AWT83_10895,Carbamate kinase,Acid tolerance,Core
AWW70_04510,Agmatine deiminase family protein (Peptidyl-arginine deiminase),Acid tolerance,Core
AWW70_21275,Carbamate kinase,Acid tolerance,Core
AWW70_26110,Arginine deiminase,Acid tolerance,Core
AX245_02555,Carbamate kinase,Acid tolerance,Core
AXE83_02775,Carbamate kinase,Acid tolerance,Core
AYR63_03225,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
AYR63_03490,Carbamate kinase,Acid tolerance,Core
AYR63_11575,Carbamate kinase,Acid tolerance,Core
AYR63_11580,Arginine deiminase,Acid tolerance,Core
AZF04_11885,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
B1NLA3E_03010,Carbamate kinase,Acid tolerance,Core
B4077_0353,Carbamate kinase,Acid tolerance,Core
B4077_3388,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
B4077_3548,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
B4077_3781,Peptidyl-arginine deiminase,Acid tolerance,Core
B4082_0970,Carbamate kinase,Acid tolerance,Core
B4088_4816,Peptidyl-arginine deiminase,Acid tolerance,Core
B4088_4819,Porphyromonas-type peptidyl-arginine deiminase,Acid tolerance,Core
B4121_1371,Carbamate kinase,Acid tolerance,Core
B4121_1705,Carbamate kinase,Acid tolerance,Core
B4121_1934,Siderophore biosynthesis L-24-diaminobutyrate decarboxylase,Acid tolerance,Core
B4121_2198,Siderophore biosynthesis L-24-diaminobutyrate decarboxylase,Acid tolerance,Core
B4121_2923,Putative L-24-diaminobutyrate decarboxylase,Acid tolerance,Core
B4127_1272,Arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
B4147_0512,Carbamate kinase,Acid tolerance,Core
B4918_19325,Agmatine deiminase family protein (Peptidyl-arginine deiminase),Acid tolerance,Core
B5E44_03755,Carbamate kinase,Acid tolerance,Core
B5P40_18560,Peptidyl-arginine deiminase,Acid tolerance,Core
B5P42_01350,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
B5P42_21075,Peptidyl-arginine deiminase,Acid tolerance,Core
B5P42_30585,Carbamate kinase,Acid tolerance,Core
B7707_02865,Carbamate kinase,Acid tolerance,Core
B7708_06700,Carbamate kinase,Acid tolerance,Core
BA70_06565,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BA70_12675,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BAA01_03825,Glutamate decarboxylase,Acid tolerance,Core
BABA_02367,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BABA_18427,Glutamate decarboxylase,Acid tolerance,Core
BACI348_30188,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BACI71_90395,Porphyromonas-type peptidyl-arginine deiminase,Acid tolerance,Core
BACWE_49130,Peptidyl-arginine deiminase,Acid tolerance,Core
BAE31_11280,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BAE31_15995,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BAGA_26950,Carbamate kinase,Acid tolerance,Core
BAMA_04250,Peptidyl-arginine deiminase,Acid tolerance,Core
BAMA_16410,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BAOM_2314,"Putative L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BAQ49_13410,Carbamate kinase,Acid tolerance,Core
BAQ49_14935,Peptidyl-arginine deiminase,Acid tolerance,Core
BAU24_11975,Carbamate kinase,Acid tolerance,Core
BAU24_24425,Peptidyl-arginine deiminase,Acid tolerance,Core
BAU25_08215,Carbamate kinase,Acid tolerance,Core
BAU25_28285,Peptidyl-arginine deiminase,Acid tolerance,Core
BAU28_25055,Peptidyl-arginine deiminase,Acid tolerance,Core
BAVI_17632,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BC_0409,Carbamate kinase,Acid tolerance,Core
BC_3487,Peptidyl-arginine deiminase,Acid tolerance,Core
BC05F1_03663,Peptidyl-arginine deiminase,Acid tolerance,Core
BC335_0901,Arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
BC335_0905,carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
BCB4264_A3494,Porphyromonas-type peptidyl-arginine deiminase subfamily protein,Acid tolerance,Core
BCB44BAC_00402,Carbamate kinase,Acid tolerance,Core
BCE_2691,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCE_3504,Peptidyl-arginine deiminase,Acid tolerance,Core
Bcer98_0351,Carbamate kinase,Acid tolerance,Core
bcere0026_22480,Glutamate decarboxylase,Acid tolerance,Core
bcere0026_31670,Porphyromonas-type peptidyl-arginine deiminase,Acid tolerance,Core
bcere0026_54480,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BcerKBAB4_3206,Porphyromonas-type peptidyl-arginine deiminase,Acid tolerance,Core
BcerKBAB4_5487,Pyridoxal-dependent decarboxylase,Acid tolerance,Core
BCG9842_B1753,Porphyromonas-type peptidyl-arginine deiminase subfamily,Acid tolerance,Core
BCR21_00025,Carbamate kinase,Acid tolerance,Core
BCR21_03205,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCR21_04810,Carbamate kinase,Acid tolerance,Core
BCR21_13310,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCR21_14360,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCR23_02550,Carbamate kinase,Acid tolerance,Core
BCR23_08825,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCR24_02255,Carbamate kinase,Acid tolerance,Core
BCR24_07220,Carbamate kinase,Acid tolerance,Core
BCR25_05425,Carbamate kinase,Acid tolerance,Core
BCR25_07540,Carbamate kinase,Acid tolerance,Core
BCR25_09900,Carbamate kinase,Acid tolerance,Core
BCR25_18705,Carbamate kinase,Acid tolerance,Core
BCR26_00785,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BCR26_01620,Carbamate kinase,Acid tolerance,Core
BCR26_05045,Carbamate kinase,Acid tolerance,Core
BCR26_07045,Carbamate kinase,Acid tolerance,Core
BCR26_09340,Carbamate kinase,Acid tolerance,Core
BCR26_13355,Glutamate decarboxylase,Acid tolerance,Core
BFD03_02355,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BFG57_08295,Arginine deiminase,Acid tolerance,Core
BFG57_11155,Carbamate kinase,Acid tolerance,Core
BG04_4844,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BH0566,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BH747_07985,Carbamate kinase,Acid tolerance,Core
BIV60_09545,Carbamate kinase,Acid tolerance,Core
BJR07_04750,Peptidyl-arginine deiminase,Acid tolerance,Core
BK123_12435,Carbamate kinase,Acid tolerance,Core
BK123_21090,Glutamate decarboxylase,Acid tolerance,Core
BK699_01160,Carbamate kinase,Acid tolerance,Core
BK716_02020,Peptidyl-arginine deiminase,Acid tolerance,Core
BK716_07305,Carbamate kinase,Acid tolerance,Core
BK724_29895,Peptidyl-arginine deiminase,Acid tolerance,Core
BK730_06170,Peptidyl-arginine deiminase,Acid tolerance,Core
BK732_10460,Carbamate kinase,Acid tolerance,Core
BK732_14890,Peptidyl-arginine deiminase,Acid tolerance,Core
BK741_01710,Carbamate kinase,Acid tolerance,Core
BK741_26115,Peptidyl-arginine deiminase,Acid tolerance,Core
BK746_03755,Peptidyl-arginine deiminase,Acid tolerance,Core
BK746_08970,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK746_15990,Carbamate kinase,Acid tolerance,Core
BK749_01860,Carbamate kinase,Acid tolerance,Core
BK749_10220,Peptidyl-arginine deiminase,Acid tolerance,Core
BK750_10890,Peptidyl-arginine deiminase,Acid tolerance,Core
BK750_16815,Carbamate kinase,Acid tolerance,Core
BK754_05430,Carbamate kinase,Acid tolerance,Core
BK754_32525,Peptidyl-arginine deiminase,Acid tolerance,Core
BK761_01985,Carbamate kinase,Acid tolerance,Core
BK769_03105,Peptidyl-arginine deiminase,Acid tolerance,Core
BK769_17735,Carbamate kinase,Acid tolerance,Core
BK769_26235,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK772_12005,Peptidyl-arginine deiminase,Acid tolerance,Core
BK772_16395,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK774_08675,Peptidyl-arginine deiminase,Acid tolerance,Core
BK774_27850,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK775_03235,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK775_22115,Peptidyl-arginine deiminase,Acid tolerance,Core
BK775_23565,Carbamate kinase,Acid tolerance,Core
BK784_04255,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BK784_04645,Peptidyl-arginine deiminase,Acid tolerance,Core
BK784_08270,Carbamate kinase,Acid tolerance,Core
BKK64_16985,Carbamate kinase,Acid tolerance,Core
BKK64_19430,Agmatine deiminase family protein (Peptidyl-arginine deiminase),Acid tolerance,Core
BKM66_03375,Carbamate kinase,Acid tolerance,Core
BL01102,Carbamate kinase,Acid tolerance,Core
BL01335,"Putative L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BL01735,"Putative L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BL02887,Putative aminoacid decarboxylase,Acid tolerance,Core
BLX06_27040,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BMD_2444,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BMD_4053,"L-2,4-diaminobutyrate decarboxylase (EC 4.1.1.-)",Acid tolerance,Core
BME96_15115,Carbamate kinase,Acid tolerance,Core
BMQ_2467,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BMQ_4068,"L-2,4-diaminobutyrate decarboxylase (EC 4.1.1.-)",Acid tolerance,Core
BMWSH_2746,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BN1002_00410,Carbamate kinase,Acid tolerance,Core
BN1002_01868,Carbamate kinase,Acid tolerance,Core
BN1002_02800,Carbamate kinase,Acid tolerance,Core
BN1180_00076,"L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BN1356_01148,Carbamate kinase,Acid tolerance,Core
BN146_00185,Carbamate kinase,Acid tolerance,Core
BpOF4_16305,"L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BPUM_0725,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BPUM_1020,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BSA145_11485,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
BSA145_13360,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
Bsel_0163,Carbamate kinase,Acid tolerance,Core
BsIDN1_20110,Diaminobutyrate decarboxylase,Acid tolerance,Core
BSONL12_02979,Pyridoxal-dependent decarboxylase,Acid tolerance,Core
BSONL12_03599,Carbamate kinase,Acid tolerance,Core
BSONL12_13291,Pyridoxal phosphate-dependent decarboxylase,Acid tolerance,Core
BSONL12_18444,Carbamate kinase,Acid tolerance,Core
Bsph_2058,Arginine deiminase,Acid tolerance,Core
Bsph_2904,Carbamate kinase,Acid tolerance,Core
Bsph_3806,"L-2,4-diaminobutyrate decarboxylase (EC 4.1.1.86)",Acid tolerance,Core
BSQ50_08690,Carbamate kinase,Acid tolerance,Core
BSQ50_10255,Carbamate kinase,Acid tolerance,Core
BT246_37720,Peptidyl-arginine deiminase,Acid tolerance,Core
BTCBT_004633,Carbamate kinase,Acid tolerance,Core
BTDB27_000159,Carbamate kinase,Acid tolerance,Core
BTDB27_p000142,Glutamate decarboxylase,Acid tolerance,Core
BTF1_14710,Peptidyl-arginine deiminase,Acid tolerance,Core
BTF1_27955,Carbamate kinase,Acid tolerance,Core
BTG_19050,Carbamate kinase,Acid tolerance,Core
BTI247_37250,Peptidyl-arginine deiminase,Acid tolerance,Core
BTN92_02275,Carbamate kinase,Acid tolerance,Core
btrK,L-glutamyl-[BtrI acyl-carrier protein] decarboxylase (EC 4.1.1.95) (Butirosin biosynthesis protein K),Acid tolerance,Core
BTU61_03070,Carbamate kinase,Acid tolerance,Core
Btus_2434,Glutamate decarboxylase,Acid tolerance,Core
BVF97_21625,Peptidyl-arginine deiminase,Acid tolerance,Core
BVF97_22885,Arginine deiminase,Acid tolerance,Core
BW143_04075,Carbamate kinase,Acid tolerance,Core
BW143_17615,Carbamate kinase,Acid tolerance,Core
BW425_08745,Carbamate kinase,Acid tolerance,Core
BW892_04660,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BW892_18910,Peptidyl-arginine deiminase,Acid tolerance,Core
BW897_12445,Carbamate kinase,Acid tolerance,Core
BW897_22975,Peptidyl-arginine deiminase,Acid tolerance,Core
BW900_19945,Peptidyl-arginine deiminase,Acid tolerance,Core
BWGO95_00863,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
BWGO95_03552,Peptidyl-arginine deiminase,Acid tolerance,Core
BWGOE11_35870,Peptidyl-arginine deiminase,Acid tolerance,Core
BWGOE8_35330,Peptidyl-arginine deiminase,Acid tolerance,Core
C1N66_27575,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
C3744_03910,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
C4618_00620,Carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
C4618_03570,Carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
C4A77_14100,Glutamate decarboxylase,Acid tolerance,Core
C4A77_15195,Glutamate decarboxylase,Acid tolerance,Core
C5O77_06120,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
C797_09646,Carbamate kinase,Acid tolerance,Core
C797_19985,Glutamate decarboxylase,Acid tolerance,Core
C7Y47_08140,Arginine deiminase,Acid tolerance,Core
CAB88_01285,Carbamate kinase,Acid tolerance,Core
CAB88_17515,Peptidyl-arginine deiminase,Acid tolerance,Core
CBF70_00290,Aspartate 4-decarboxylase,Acid tolerance,Core
CBF96_05950,Carbamate kinase,Acid tolerance,Core
CBF96_09355,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CBG21_05755,Carbamate kinase,Acid tolerance,Core
CBP76_07775,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CBP76_10530,Peptidyl-arginine deiminase,Acid tolerance,Core
CDB3_06965,Peptidyl-arginine deiminase,Acid tolerance,Core
CDB3_08830,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CECT5772_02158,Carbamate kinase,Acid tolerance,Core
CEE75_06815,carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
CER22_22540,Peptidyl-arginine deiminase,Acid tolerance,Core
CHCC16736_0415,Arginine deiminase (Dimethylarginine dimethylaminohydrolase family protein),Acid tolerance,Core
CHCC16736_3329,carbamate kinase (EC 2.7.2.2),Acid tolerance,Core
CHCC16736_3330,Carbamate kinase,Acid tolerance,Core
CHCC16736_3381,"Aspartate aminotransferase family protein (L-2,4-diaminobutyrate decarboxylase)",Acid tolerance,Core
chdC,Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase),Acid tolerance,Core
CHH57_05610,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CIB87_10395,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CIB87_18700,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
CJ483_17050,L-threonine-O-3-phosphate decarboxylase (EC 2.6.1.9) (EC 4.1.1.81),Acid tolerance,Core
CK,Carbamate kinase,Acid tolerance,Core
CKN69_11410,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN290_01150,Peptidyl-arginine deiminase,Acid tolerance,Core
CN307_24175,Peptidyl-arginine deiminase,Acid tolerance,Core
CN326_20855,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN357_28460,Peptidyl-arginine deiminase,Acid tolerance,Core
CN357_31770,Protein-arginine deiminase C-terminal domain-containing protein,Acid tolerance,Core
CN357_31775,Protein-arginine deiminase C-terminal domain-containing protein,Acid tolerance,Core
CN357_31780,Protein-arginine deiminase C-terminal domain-containing protein,Acid tolerance,Core
CN357_31785,Protein-arginine deiminase C-terminal domain-containing protein,Acid tolerance,Core
CN357_33250,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN357_33560,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN378_00615,Arginine deiminase,Acid tolerance,Core
CN402_23840,Peptidyl-arginine deiminase,Acid tolerance,Core
CN425_00010,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN425_14005,Peptidyl-arginine deiminase,Acid tolerance,Core
CN475_12750,Peptidyl-arginine deiminase,Acid tolerance,Core
CN491_06115,Peptidyl-arginine deiminase,Acid tolerance,Core
CN497_07470,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN497_29320,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
CN551_20915,Peptidyl-arginine deiminase,Acid tolerance,Core
CN553_16565,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN611_08985,Peptidyl-arginine deiminase,Acid tolerance,Core
CN678_19885,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CN684_15045,Peptidyl-arginine deiminase,Acid tolerance,Core
CN958_02620,Peptidyl-arginine deiminase,Acid tolerance,Core
CN958_26710,arginine deiminase (EC 3.5.3.6),Acid tolerance,Core
CN984_19795,Peptidyl-arginine deiminase,Acid tolerance,Core
CN984_30480,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CNR29_00515,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
CNR29_10700,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
